index,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
57, BAŞKENT YAPI'DAN METROBÜSE 5DK FULL DONANIMLI SİTE İÇİ V.I.P 2+1,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,1,14,4. Kat,150,2,2,0,KombiDoğalgaz,619000
58, MARİN İNŞAAT'TAN METROBÜSE YAKIN YATIRIM İÇİN BİRE BİR DAİRELER!,Esenyurt, Mehterçeşme Mahallesi,Konut,3+1,2,6,3. Kat,130,2,1,0,KombiDoğalgaz,240000
59, TEK YETKİLİ! ÖZEL YAPIM EBEVYN+3 BALKON+Ç.ODASI EMSALSİZ LÜX 3+1,Maltepe, Altıntepe Mahallesi,Konut,3+1,20,4,2. Kat,140,2,2,0,KombiDoğalgaz,829000
60,COŞKUN GAYRİMENKULDEN PENDİK GÖZDAĞINDA SATILIK 2 +1 DAİRELER,Pendik, Velibaba Mahallesi,Konut,2+1,0,8,6. Kat,90,1,1,0,KombiDoğalgaz,523000
61,DEMİR İNŞAAT GAYRİMENKULDEN 50.YILDA 2+1 90M2 YÜKSEK GİRİŞ,Sultangazi, 50. Yıl Mahallesi,Konut,2+1,11-20,5,Giriş,95,1,1,0,KombiDoğalgaz,349000
62, DORELİFE SİTESİ SATILIK ARKA CEPHE 6.KAT 3+1 DAİRE HALİL GÜLER,Sancaktepe, Emek Mahallesi,Konut,3+1,4,8,6. Kat,168,2,2,0,Merkezi(PayÖlçer),1025000
63,DEMİR İNŞAATTAN 2+1 LÜX YÜKSEK GİRİŞ SIFIR TAPU MASRAFI YOK!!,Sultangazi, 50. Yıl Mahallesi,Konut,2+1,0,1,Giriş,90,1,1,0,KombiDoğalgaz,460000
64,Gaziosmanpaşa Bağlarbaşı Mahallesi'nde Satılık Daire ,Gaziosmanpaşa, Bağlarbaşı Mahallesi,Konut,3+1,11-20,5,Bodrum,110,1,1,0,KombiDoğalgaz,295000
65, KOZYATAĞI PRESTİJLİ BİNADA 120 M2 NET ÖNÜ AÇIK FERAH 3+1 DAİRE,Kadıköy, 19 Mayıs Mahallesi,Konut,3+1,20,10,8. Kat,140,1,1,0,MerkeziDoğalgaz,1570000
66,SOGANLIDA SATILIK 3+1 DAİRE ,Bahçelievler, Soğanlı Mahallesi,Konut,3+1,20,6,-2,130,1,1,0,KombiDoğalgaz,575000
67,ESER YAPIDAN SATILIK3+1 120M2 BALKONLU ARAKAT GİBİ YUKSEK GİRİŞ,Başakşehir, Altınşehir Mahallesi,Konut,3+1,0,3,1. Kat,125,1,1,0,KombiDoğalgaz,520000
68, GAZİOSMANPAŞA MERKEZ MAHALLESİ KAVAKLI SK SATILIK 2+1 DAİRE,Gaziosmanpaşa, Merkez Mahallesi,Konut,2+1,20,5,5. Kat,100,1,1,0,KombiDoğalgaz,370000
69, ÖZ AKTAŞ'TAN MUHTEŞEM KONUMDA 3+1 Y.GİRİŞ LÜX DAİRE,Esenyurt, Battalgazi Mahallesi,Konut,3+1,0,5,-1,125,1,1,0,KombiDoğalgaz,299000
70, Home Vizyon Bahçelievler Satılık Butik Sitede Lüx 3+1 Daire. ,Bahçelievler, Çobançeşme Mahallesi,Konut,3+1,5-10,4,3. Kat,130,2,1,0,KombiDoğalgaz,789000
71, ÖZ AKTAŞ'TAN CADDE ÜSTÜ PARK MANZARALI 90M2 2+1 LÜX DAİRE,Esenyurt, Osmangazi Mahallesi,Konut,2+1,0,5,2. Kat,100,1,1,0,KombiDoğalgaz,289000
72, ÖZ AKTAŞ'TAN SIFIR BİNADA 2+1 UYGUN ORTA KAT LÜX DAİRE,Esenyurt, Pınar Mahallesi,Konut,2+1,0,5,2. Kat,100,1,1,0,KombiDoğalgaz,275000
73, İNŞAAT FİRMASINDAN ESENYURT KIRAÇ'TA 3+1 TEK DAİRE ÜZERİ,Esenyurt, Hürriyet Mahallesi,Konut,3+1,4,5,2. Kat,145,1,1,0,MerkeziDoğalgaz,419000
74, ÖZ AKTAŞ'TAN MUHACİR MAHAHLLESİNDE 2+1 110M2 DEKORLU LÜX DAİRE,Esenyurt, Osmangazi Mahallesi,Konut,2+1,0,5,2. Kat,110,1,1,0,KombiDoğalgaz,335000
75, ÖZ AKTAŞ'TAN YENİ BİNADA SIFIR DAİRE 90M2 2+1 KREDİYE UYGUN,Esenyurt, Necip Fazıl Kısakürek Mahallesi,Konut,2+1,0,5,2. Kat,100,1,1,0,KombiDoğalgaz,285000
76, İNŞAAT FİRMASINDAN PARKA KOMSU GENİŞ 3+1 ORTA KAT DAİRE,Esenyurt, Çınar Mahallesi,Konut,3+1,0,5,2. Kat,145,2,1,0,KombiDoğalgaz,399000
77,ÖZ AKTAŞ'TAN SİTE İÇERİSİNDE 100M2 KÖŞE DAİRE 2+1 ,Esenyurt, İstiklal Mahallesi,Konut,2+1,3,20,6. Kat,110,1,1,0,KombiDoğalgaz,359000
78, ÖZ AKTAŞ'TAN KREDİYE UYGUN LÜX DEKORLU 2+1 100M2 ARAKAT DAİRE,Esenyurt, Çınar Mahallesi,Konut,2+1,0,5,2. Kat,110,1,1,0,KombiDoğalgaz,289000
79, BEYLİKDÜZÜ YAKUPLU'DA GENİŞ METROBÜSE YAKIN 2+1 DAİRE ,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,0,4,2. Kat,105,1,1,0,KombiDoğalgaz,439000
80, Gaziosmanpaşa'da satılık 2+1 daire giriş üstü,Gaziosmanpaşa, Bağlarbaşı Mahallesi,Konut,2+1,0,5,1. Kat,85,1,1,0,KombiDoğalgaz,650000
81,  DOSTHANEEMLAK TAN 50 YIL MH SATILIK KELEPİR TEMİZ 2+1 DAİRE,Sultangazi, 50. Yıl Mahallesi,Konut,2+1,4,5,Bahçe Katı,105,1,1,0,KombiDoğalgaz,275000
82,ESER YAPIDAN ALTINŞEHİR DE SATILIK2+1 3+1 BALKONLU DUZ GİRİŞLER,Başakşehir, Altınşehir Mahallesi,Konut,2+1,0,4,Giriş,90,1,1,0,KombiDoğalgaz,340000
83,AŞKIN EMLAKTAN 2+1 80M² DAİRE,Eyüpsultan, Güzeltepe Mahallesi,Konut,2+1,5-10,5,1. Kat,90,1,1,0,KombiDoğalgaz,490000
84,Nivo Ataköy istanbulun en prestijli projesinde acil satılık.,Bakırköy, Ataköy 7-8-9-10. Kısım Mahallesi,Konut,1+1,0,17,5. Kat,93,1,1,1,Merkezi(PayÖlçer),1450000
85, SELEHADDİN EYYÜBİ MH. BALKONLU KOMBİLİ YÜKSEK GİRİŞ,Esenyurt, Selahaddin Eyyubi Mahallesi,Konut,2+1,2,5,Giriş,110,1,1,0,KombiDoğalgaz,275000
