,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
335,13,26,0,2,0,4,18,44,1,1,0,4,145000
336,13,294,0,2,0,3,2,49,1,1,0,4,190000
337,3,267,0,2,2,3,18,23,1,1,0,4,240000
338,31,171,0,4,7,3,18,61,1,1,0,4,475000
339,0,25,0,4,6,4,18,57,2,1,0,4,290000
340,13,232,0,5,7,4,10,74,2,2,0,4,350000
341,35,168,0,2,1,5,4,32,1,1,0,4,700000
342,14,296,0,2,4,4,18,53,1,1,0,4,630000
343,21,29,0,4,2,15,3,74,1,2,1,4,1085000
344,16,265,0,1,7,3,18,18,1,1,0,4,260000
345,14,296,0,2,0,4,4,30,1,1,0,4,580000
346,28,65,0,2,2,4,16,39,1,1,0,4,195000
347,22,291,0,4,4,4,16,70,1,1,0,4,825000
348,33,185,0,2,4,3,6,26,1,1,0,4,405000
349,8,113,0,13,4,1,20,111,4,1,0,1,1550000
350,3,151,0,2,6,4,16,34,1,2,0,4,400000
351,31,125,0,4,7,3,22,79,1,1,0,4,415000
352,3,267,0,2,0,4,18,39,1,1,0,4,460000
353,4,269,0,2,4,4,18,34,1,1,0,4,500000
354,14,76,0,4,4,3,2,67,1,2,0,4,750000
355,21,29,0,1,6,24,10,9,1,1,0,8,475000
356,33,185,0,4,4,3,17,49,1,1,0,4,450000
357,3,151,0,2,2,2,21,66,2,3,0,4,490000
358,15,183,0,4,4,4,6,61,1,1,0,4,1350000
359,24,33,0,4,7,3,18,70,1,1,0,4,325000
360,28,65,0,2,2,4,4,49,1,1,0,4,465000
361,28,65,0,2,0,4,16,49,1,1,0,4,340000
362,28,240,0,2,6,12,3,53,1,1,0,4,875000
363,21,294,0,2,7,3,2,39,1,1,0,4,600000
364,14,284,0,2,0,6,6,30,1,1,0,4,750000
365,14,136,0,2,0,9,10,39,2,1,0,7,585000
366,28,240,0,7,0,4,21,95,2,2,0,4,825000
367,22,270,0,2,6,2,18,44,1,1,0,4,298000
368,22,270,0,2,7,3,2,34,1,1,0,4,495000
369,26,251,0,4,7,5,9,77,2,1,0,7,870000
370,26,251,0,4,4,5,6,70,1,1,0,4,365000
371,32,27,0,2,0,3,16,34,1,1,0,4,450000
372,27,7,0,2,6,6,2,34,1,1,0,7,545000
373,8,245,0,2,0,4,2,49,2,1,0,4,650000
374,13,267,0,2,6,4,9,44,1,1,0,4,353000
375,13,15,0,2,6,4,4,49,1,1,0,4,387500
376,23,10,0,2,7,4,10,34,1,1,0,4,328000
377,23,41,0,4,7,4,6,67,2,1,0,4,970000
378,29,195,0,2,7,3,2,30,1,1,0,4,330000
379,12,179,0,4,2,3,2,64,1,1,0,4,919000
380,16,301,0,7,7,2,6,97,2,2,0,4,850000
381,10,100,0,2,4,6,10,53,1,1,0,4,1250000
382,13,120,0,2,7,14,3,53,1,1,0,4,675000
383,8,8,0,2,7,11,10,77,2,1,0,4,925000
384,31,125,0,2,7,2,2,61,2,2,0,4,485000
