index,İlan Başlığı,Semt,Mahalle,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
66, ESENYURT ÖRNEK MAH. 1+1 SİTE İÇİNDE GÜVENLİKLİ SATILIK DAİRE , Esenyurt, Örnek Mahallesi,1+1,5-10,7,5. Kat,65,1,1,Merkezi(PayÖlçer),310000
67,"Next House'dan, Göl ve Deniz Manzaralı,250M2,Özel Yapım Dubleks.", Küçükçekmece, Fatih Mahallesi,4+1,0,14,10-20,250,3,0,Merkezi(PayÖlçer),2600000
68, SARIYER MASLAK ECLİPSE LÜKS 2+1 SATILIK DAİRE, Sarıyer, Maslak Mahallesi,2+1,5-10,30,10-20,105,1,1,Merkezi(PayÖlçer),2650000
69, ESENYURT DOGAN ARASLI BULVARI CAD. 1+1 SİTE İÇİNDE SATILIK DAİRE, Esenyurt, Bağlarçeşme Mahallesi,1+1,5-10,10,4. Kat,72,1,1,KombiDoğalgaz,345000
70,BAHÇELİEVLER DE 3+1 SATILIK DAİRE , Bahçelievler, Soğanlı Mahallesi,3+1,11-20,5,Giriş,120,1,0,KombiDoğalgaz,560000
71,SARIYER MASLAK 42 1+1 SATILIK DAİRE  , Sarıyer, Maslak Mahallesi,1+1,5-10,30,10-20,70,1,1,Merkezi(PayÖlçer),2550000
72, ESENYURT CUMHURİYET MAH. 1+1 SATILIK DAİRE, Esenyurt, Piri Reis Mahallesi,1+1,5-10,14,3. Kat,70,1,1,Merkezi(PayÖlçer),350000
73,SANCAKTEPE'NİN YÜKSELEN YILDIZI YENİDOĞAN'DA MERKEZİ KONUMDA 2+1 , Sancaktepe, Yunus Emre Mahallesi,2+1,0,6,2. Kat,95,1,0,KombiDoğalgaz,400000
74, ESENYURT ÜÇEVLER  MH. 2+1 95M² 1. KAT DAİRE, Esenyurt, Fatih Mahallesi,2+1,4,6,1. Kat,105,1,0,KombiDoğalgaz,330000
75,MARİN İNŞAATTAN SAADETDEREDE TORİUM AVM ARKASINDA FIRSAT2+1 DAİRE, Esenyurt, Saadetdere Mahallesi,2+1,1,5,3. Kat,110,1,0,KombiDoğalgaz,175000
76, BEYLİKDÜZÜ MARİNA'YA KOMŞU SIFIR EŞSİZ 2+1 DAİRE !, Beylikdüzü, Yakuplu Mahallesi,2+1,0,5,2. Kat,110,1,0,KombiDoğalgaz,519000
77, BEYLİKDÜZÜ YAKUPLU'DA EŞSİZ MANZARALI DEV M2 UYGUN 3+2 DUBLEKS !, Beylikdüzü, Yakuplu Mahallesi,3+2,4,5,4. Kat,180,2,0,KombiDoğalgaz,629000
78, CENNET MAHALLESİNDE E-5 KENARI SATILIK SIFIR BALKONLU Y.GİRİŞ , Küçükçekmece, Cennet Mahallesi,2+1,0,5,Giriş,90,1,0,KombiDoğalgaz,750000
79, AVCILAR CİHANGİR BU AYIN KELEPİR 2+1 SIFIR DAİRESİ RÜZGAR YAPIDA, Avcılar, Cihangir Mahallesi,2+1,2,6,1. Kat,110,1,0,KombiDoğalgaz,203000
80, ESENYURT  LÜX BİR YAŞAMA GEÇMEYE HAZIRMISINIZ...??, Esenyurt, Atatürk Mahallesi,2+1,0,7,5. Kat,110,1,0,KombiDoğalgaz,220000
81, آپارتمان های لوکس در غرب استانبول با بهترین شرایط فرو, Esenyurt, Cumhuriyet Mahallesi,3+1,0,15,7. Kat,130,1,0,KombiDoğalgaz,245000
82,METROBÜSE 3 DK TEK DAİRE ÜZERİ 130 NET M2 3+1 EBEVEN BANYOLU !!!, Esenyurt, Güzelyurt Mahallesi,3+1,0,6,1. Kat,145,1,0,KombiDoğalgaz,562000
83,GÜVERCİN İNŞAAT'TAN 2+1 110 M2 KAÇIRILMAYACAK KUPON DAİRE !!!!!!, Esenyurt, Bağlarçeşme Mahallesi,2+1,0,5,3. Kat,110,1,0,KombiDoğalgaz,259000
84,MERKEZİ KONUMDA 3+1 EMSALSİZ KELEPİR DAİRE 165 M2 2.KAT ÖN CEPHE, Esenyurt, Örnek Mahallesi,3+1,0,5,2. Kat,165,1,0,KombiDoğalgaz,447000
85,GÜVERCİN YAPI FARKIYLA ŞİŞİRİLMEMİŞ FİYATLAR İLE 150M2 3+1 4.KAT, Esenyurt, Yenikent Mahallesi,3+1,2,5,4. Kat,150,1,0,KombiDoğalgaz,379000
86, ESENYURT MEHMET AKİFTE METROBÜSE ÇOK YAKIN FIRSAT SATILIK DAİRE, Esenyurt, Mehmet Akif Ersoy Mahallesi,2+1,4,5,2. Kat,120,1,0,KombiDoğalgaz,360000
87, ESENYURT PINAR MAH. SİTE İÇİNDE EŞYALI 1+1 SIFIR DAİRE , Esenyurt, Pınar Mahallesi,1+1,0,14,3. Kat,90,1,1,Merkezi(PayÖlçer),280000
88,ESENYURT 3+1 ARA KAT 130 M2 YEŞİLKENT MAH. SATILIK DAİRE , Esenyurt, Yeşilkent Mahallesi,3+1,0,5,3. Kat,145,1,0,KombiDoğalgaz,485000
89, Toki Menekşe Evleri-1'de 84m2 Marmaray'a Yakın 2+1 Satılık Daire, Küçükçekmece, Atakent Mahallesi,2+1,11-20,11,10-20,84,1,1,KombiDoğalgaz,740000
90, YEŞİLKENT 2'DE VATANDAŞLIĞA UYGUN 5+1 SATILIK DAİRE, Beylikdüzü, Adnan Kahveci Mahallesi,5+1,20,16,10-20,360,3,1,KombiDoğalgaz,1800000
91, BEYLİKDÜZÜ BARIŞ MAHALLESİNDE EMSALSİZ GENİŞ M2 3+1 DAİRE !, Beylikdüzü, Yakuplu Mahallesi,3+1,11-20,14,10-20,150,1,0,KombiDoğalgaz,869000
92,BEYLİKDÜZÜ GEZGEN YAPIDAN 110 m2 OTURUMA HAZIR 2+1 SATILIK DAİRE, Esenyurt, Cumhuriyet Mahallesi,2+1,0,6,3. Kat,110,2,0,KombiDoğalgaz,330000
93,Başakşehir evvel İstanbul projesi satılık fırsat boş 3+1 daire , Başakşehir, Kayabaşı Mahallesi,3+1,4,28,10-20,169,2,0,YerdenIsıtma,1749000
94,MARİN İNŞAAT'TAN 3+1 GÜZELYURT'TA METROBÜS YAKINI DAİRE FIRSATI!, Esenyurt, Güzelyurt Mahallesi,3+1,1,5,3. Kat,130,2,0,KombiDoğalgaz,255000
95, TRUVA'DAN MALTEPDE ŞOK FİYAT FIRSAT DAİRE 3.KAT ASANSRLÜ 2+1, Maltepe, Fındıklı Mahallesi,2+1,5-10,4,3. Kat,90,1,0,KombiDoğalgaz,335000
96,SATILIK 5+2 DUBLEKS NET 200 M2 AÇIKLAMAYI OKUYUN, Çekmeköy, Merkez Mahallesi,5+2,0,4,Çatı Dubleks,230,3,0,KombiDoğalgaz,1550000
97, BEYLİKDÜZÜNDE ULTRA LÜX 2+1 GENİŞ FERAH KULLANIŞLI DAİRE , Beylikdüzü, Cumhuriyet Mahallesi,2+1,0,4,2. Kat,100,1,0,KombiDoğalgaz,225000
98,Kayaşehir 19 bölgede satılık fırsat tapulu 2+1 boş daire , Başakşehir, Kayabaşı Mahallesi,2+1,5-10,25,21-29,102,1,1,Merkezi(PayÖlçer),685000
99, AKASYA 1'de FULL TADİLATLI ARA KAT DAİRE, Küçükçekmece, Atakent Mahallesi,3+1,11-20,15,10-20,155,2,1,KombiDoğalgaz,1385000
100, TOKİ AÇELYA EVLERİ'NDE SATILIK 2+1 ARA KAT TEMİZ 84 m2 DAİRE, Küçükçekmece, Atakent Mahallesi,2+1,11-20,9,9. Kat,84,1,1,KombiDoğalgaz,735000
101, Bahçelievler'de Yeni Binada Satılık Ara Kat Asansörlü 2+1 Daire, Bahçelievler, Siyavuşpaşa Mahallesi,2+1,11-20,5,2. Kat,100,1,0,KombiDoğalgaz,549000
102, Bahçeşehir Tual'de 3+1 Çift Cephe Satılık Daire, Başakşehir, Bahçeşehir 2. Kısım Mahallesi,3+1,5-10,27,3. Kat,180,2,1,Merkezi(PayÖlçer),1750000
103,MARİN İNŞAATTAN KAVAKLI'DA 3+1 KREDİYE TAKASA UYGUN DAİRE FIRSATI, Beylikdüzü, Kavaklı Mahallesi,3+1,2,8,3. Kat,130,2,0,KombiDoğalgaz,322000
104,DURAKCAN'DAN TORİUM AWM YANINDA METROBÜSE YÜRÜME MESAFESİNDE 2+1, Esenyurt, Zafer Mahallesi,2+1,5-10,5,Bahçe Katı,105,2,0,KombiDoğalgaz,389999
105, BEYLİKDÜZÜNDE SİTE İÇİNDE YEŞİLİN TAM ORTASINDA HUZURLU YAŞAM, Beylikdüzü, Kavaklı Mahallesi,3+1,0,7,5. Kat,130,1,0,KombiDoğalgaz,240000
106,HALİM GÜZEL'DEN 3+1 METROLİFE YANI 130 M2 ARA KAT DAİRE, Sancaktepe, Abdurrahmangazi Mahallesi,3+1,5-10,5,1. Kat,130,1,0,KombiDoğalgaz,590000
107,RE/MAX IŞIK FARKIYLA SIFIR 2+1 BALKONLU SATILIK DAİRE, Sancaktepe, Abdurrahmangazi Mahallesi,2+1,0,3,3. Kat,95,1,0,KombiDoğalgaz,495000
108, ÇİFTEHAVUZLARDA 13 YILLIK BİNA 3+1 160 M2 3 BANYO  YENİLENMİŞ, Kadıköy, Göztepe Mahallesi,3+1,11-20,11,7. Kat,160,3,0,KombiDoğalgaz,3695000
109, DEPAR'DAN FENERYOLU MİNİBÜS CADDESİ ÜZERİ 3+1 145 M2 YENİLENMİŞ, Kadıköy, Feneryolu Mahallesi,3+1,20,9,5. Kat,145,1,0,MerkeziDoğalgaz,1875000
110,SANCAKTEPE SAFA MAH.3+1 135M2 İSKANLI ASANSÖRLÜ MERKEZİ KONUM, Sancaktepe, Safa Mahallesi,3+1,3,4,3. Kat,135,1,0,KombiDoğalgaz,520000
111,BEYLİKDÜZÜ ALBAYRAK'TAN SİTE İÇİ BAHÇE KULLANIMLI 2+1 SATILIK, Beylikdüzü, Adnan Kahveci Mahallesi,2+1,0,5,Bahçe Katı,125,2,0,KombiDoğalgaz,720000
112,BEYLİKDÜZÜ ALBAYRAK'TAN SİTE İÇİ GENİŞ M2 3+1 SATILIK DAİRELER, Beylikdüzü, Adnan Kahveci Mahallesi,3+1,0,5,3. Kat,155,2,0,KombiDoğalgaz,870000
