,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
782,  ÇEKMEKÖY MEHMET AKİF  MAH. 3+1 SATILIK  YÜKSEK GİRİŞ DAİRE ,Çekmeköy, Mehmet Akif Mahallesi,Konut,3+1,0,5,Yüksek Giriş,120,2,2,0,KombiDoğalgaz,690000
783, Duru'dan Altıntepe'de 1+1 60m2 Giriş Katta Masrafsız Daire,Maltepe, Altıntepe Mahallesi,Konut,1+1,4,5,Düz Giriş,60,1,1,1,MerkeziDoğalgaz,575000
784,HAVAALANINA YAKIN SATILIK 4+1 VİLLA,Eyüpsultan, Odayeri Mahallesi,Konut,4+1,11-20,2,Düz Giriş,300,3,1,0,KombiDoğalgaz,6900000
785, KAVAKLI'DA 3+1 GENİŞ DAİRE,Beylikdüzü, Kavaklı Mahallesi,Konut,3+1,1,4,1. Kat,150,1,1,0,KombiDoğalgaz,790000
786, ESENYURT'TA 2+1 SATILIK DAİRE,Esenyurt, Selahaddin Eyyubi Mahallesi,Konut,2+1,5-10,4,2. Kat,95,1,1,0,KombiDoğalgaz,275000
787, CADDEYE YAKIN MERKEZİ KONUMDA BALKONLU 2+1 SATILIK DAİRE,Esenyurt, Çınar Mahallesi,Konut,2+1,4,4,2. Kat,100,1,1,0,KombiDoğalgaz,290000
788, ÇEKMEKÖY MEHMET AKİF  MAH. 3+1 SATILIK DUBLEX,Çekmeköy, Mehmet Akif Mahallesi,Konut,3+1,0,5,Çatı Dubleks,120,2,2,0,KombiDoğalgaz,690000
789,Arnavutköy Hadımköyde Satılık 3+1 Daire,Arnavutköy, Hastane Mahallesi,Konut,3+1,4,5,1. Kat,150,2,1,0,KombiDoğalgaz,730000
790, Eyüp Merkez Düz Ayak Mükemmel Konumda Sıfır Dubleks UYGUN'DAN,Eyüpsultan, Merkez Mahallesi,Konut,3+2,0,4,3. Kat,160,2,2,0,KombiDoğalgaz,1000000
791,AŞKIN EMLAKTAN REZİDANSDA SATILIK 2+1 DAİRE ,Kağıthane, Merkez Mahallesi,Konut,2+1,2,16,2. Kat,92,1,1,1,KombiDoğalgaz,870000
792,  Mimar emlak'tan atatürk mah. krediye uygun sıfır yapı 2+1 2.kat,Küçükçekmece, Atatürk Mahallesi,Konut,2+1,0,4,2. Kat,85,1,1,0,KombiDoğalgaz,4400000
793," PAŞAOĞLUNDAN SAHİL VE AKARETLERE YAKIN,BAKIMLI,KLİMALI 2.KAT",Beşiktaş, Türkali Mahallesi,Konut,3+1,20,4,2. Kat,110,1,0,0,KombiDoğalgaz,1150000
794,CYK YAPI GAYRİMENKUL SATIŞ UZMANLIĞINDAN METRO YANINDA DAİRE,Ümraniye, Namık Kemal Mahallesi,Konut,4+1,0,4,4. Kat,175,1,1,0,KombiDoğalgaz,850000
795,İSTANBUL  GÖBEĞİNDE  MALOOF İSTANBUL  KARŞISINDA ,Küçükçekmece, Mehmet Akif Mahallesi,Konut,3+1,1,5,2. Kat,130,1,1,1,KombiDoğalgaz,650000
796,D&S DEN İNÖNÜ  MH SATILIK 2+1 ,Küçükçekmece, İnönü Mahallesi,Konut,2+1,20,7,7. Kat,190,1,1,0,KombiDoğalgaz,380000
797,"MİMARSİNAN MH DE 2+1,85 M2 EBEVEYN BANYOLU",Sultanbeyli, Mimar Sinan Mahallesi,Konut,2+1,0,6,2. Kat,85,2,1,0,KombiDoğalgaz,355000
798,SOĞANLIK YENİ MAHALLEDE MERKEZİ KONUMDA 3+1 SATILIK DAİRE ,Kartal, Soğanlık Yeni Mahallesi,Konut,3+1,11-20,6,1. Kat,110,1,1,0,KombiDoğalgaz,475000
